AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Value (USD),ParentCompany
ACQ99,November,11,2015,bebop,380000000,Google
ACQ98,November,11,2015,Fly Labs,,Google
ACQ97,December,8,2015,Clearleap,,IBM
ACQ96,December,18,2015,Metanautix,,Microsoft
ACQ95,December,21,2015,"Talko, Inc.",,Microsoft
ACQ94,January,7,2016,Emotient,,Apple
ACQ93,January,15,2016,Iris Analytics,,IBM
ACQ92,January,19,2016,Teacher Gaming LLC,,Microsoft
ACQ915,July,30,1987,"Forethought, Inc.",14000000,Microsoft
ACQ914,March,2,1988,Network Innovations,,Apple
ACQ913,June,7,1988,Orion Network Systems,,Apple
ACQ912,June,27,1988,Styleware,,Apple
ACQ911,July,11,1988,Claris,,Apple
ACQ910,January,3,1989,Coral Software,,Apple
ACQ91,January,21,2016,Ustream,,IBM
ACQ909,March,31,1991,Consumers Software,,Microsoft
ACQ908,June,29,1992,Fox Software,,Microsoft
ACQ907,February,28,1994,Softimage,,Microsoft
ACQ906,September,27,1994,Altamira Software,,Microsoft
ACQ905,November,1,1994,NextBase,,Microsoft
ACQ904,November,15,1994,One Tree Software,,Microsoft
ACQ903,February,23,1995,RenderMorphics,,Microsoft
ACQ902,July,10,1995,Network Managers,,Microsoft
ACQ901,October,17,1995,The Blue Ribbon SoundWorks,,Microsoft
ACQ900,November,6,1995,Netwise,,Microsoft
ACQ90,January,28,2016,LearnSprout,,Apple
ACQ9,October,16,2017,tbh,,Facebook
ACQ899,December,12,1995,Bruce Artwick Organization,,Microsoft
ACQ898,January,16,1996,Vermeer Technologies,133000000,Microsoft
ACQ897,March,6,1996,VGA-Animation Software Div[note 1],,Microsoft
ACQ896,March,12,1996,Colusa Software,,Microsoft
ACQ895,April,16,1996,Exos,,Microsoft
ACQ894,April,23,1996,Aspect Software Engineering,14150000,Microsoft
ACQ893,June,11,1996,eShop,,Microsoft
ACQ892,June,17,1996,Electric Gravity,,Microsoft
ACQ891,November,1,1996,Panorama Software Sys-On-Line[note 2],,Microsoft
ACQ890,February,3,1997,NetCarta,20000000,Microsoft
ACQ89,January,28,2016,Resource/Ammirati,,IBM
ACQ889,February,7,1997,NeXT,404000000,Apple
ACQ888,March,3,1997,Interse,,Microsoft
ACQ887,April,30,1997,WebTV Networks,425000000,Microsoft
ACQ886,May,7,1997,Dimension X,,Microsoft
